tube_assembly_id;supplier;quote_date;annual_usage;min_order_quantity;bracket_pricing;quantity;cost
TA-00002;S-0066;07/07/2013;0;0;Yes;1;219.059.330.191.461
TA-00002;S-0066;07/07/2013;0;0;Yes;2;123.412.139.792.904
TA-00002;S-0066;07/07/2013;0;0;Yes;5;660.182.614.356.538
TA-00002;S-0066;07/07/2013;0;0;Yes;10;46.877.695.119.712
TA-00002;S-0066;07/07/2013;0;0;Yes;25;354.156.118.026.073
TA-00002;S-0066;07/07/2013;0;0;Yes;50;322.440.644.770.007
TA-00002;S-0066;07/07/2013;0;0;Yes;100;308.252.143.576.504
TA-00002;S-0066;07/07/2013;0;0;Yes;250;299.905.966.403.855
TA-00004;S-0066;07/07/2013;0;0;Yes;1;219.727.024.365.273
TA-00004;S-0066;07/07/2013;0;0;Yes;2;124.079.833.966.715
TA-00004;S-0066;07/07/2013;0;0;Yes;5;666.859.556.094.657
TA-00004;S-0066;07/07/2013;0;0;Yes;10;475.453.892.935.239
TA-00004;S-0066;07/07/2013;0;0;Yes;25;360.833.059.764.193
TA-00004;S-0066;07/07/2013;0;0;Yes;50;329.117.586.508.126
TA-00004;S-0066;07/07/2013;0;0;Yes;100;314.929.085.314.623
TA-00004;S-0066;07/07/2013;0;0;Yes;250;306.582.908.141.974
TA-00005;S-0066;01/09/2013;0;0;Yes;1;283.742.203.279.491
TA-00005;S-0066;01/09/2013;0;0;Yes;2;165.143.025.656.149
TA-00005;S-0066;01/09/2013;0;0;Yes;5;93.977.954.964.028
TA-00005;S-0066;01/09/2013;0;0;Yes;10;702.748.117.937.048
TA-00005;S-0066;01/09/2013;0;0;Yes;25;560.306.694.190.504
TA-00005;S-0066;01/09/2013;0;0;Yes;50;519.410.426.044.524
TA-00005;S-0066;01/09/2013;0;0;Yes;100;500.770.630.358.941
TA-00005;S-0066;01/09/2013;0;0;Yes;250;489.642.394.128.743
TA-00012;S-0066;11/08/2013;0;0;Yes;1;224.150.498.266.777
TA-00012;S-0066;11/08/2013;0;0;Yes;2;128.503.307.868.219
TA-00012;S-0066;11/08/2013;0;0;Yes;5;711.372.501.015.452
TA-00012;S-0066;11/08/2013;0;0;Yes;10;519.966.837.856.034
TA-00012;S-0066;11/08/2013;0;0;Yes;25;405.067.798.779.232
TA-00012;S-0066;11/08/2013;0;0;Yes;50;373.630.531.428.921
TA-00012;S-0066;11/08/2013;0;0;Yes;100;359.442.030.235.418
TA-00012;S-0066;11/08/2013;0;0;Yes;250;351.095.853.062.769
TA-00013;S-0026;21/07/1992;50;1;No;1;100.042.843.709.486
TA-00014;S-0066;17/03/2013;0;0;Yes;1;219.949.589.089.877
TA-00014;S-0066;17/03/2013;0;0;Yes;2;124.302.398.691.319
TA-00014;S-0066;17/03/2013;0;0;Yes;5;669.085.203.340.696
TA-00014;S-0066;17/03/2013;0;0;Yes;10;477.957.746.087.034
TA-00014;S-0066;17/03/2013;0;0;Yes;25;363.058.707.010.232
TA-00014;S-0066;17/03/2013;0;0;Yes;50;331.621.439.659.921
TA-00014;S-0066;17/03/2013;0;0;Yes;100;317.432.938.466.418
TA-00014;S-0066;17/03/2013;0;0;Yes;250;308.808.555.388.014
TA-00021;S-0030;10/02/2014;1;1;No;1;34.330.608.770.163
TA-00022;S-0013;27/07/2011;1;1;No;1;85.631.777.791.379
TA-00024;S-0066;01/08/2013;0;0;Yes;1;209.349.944.080.613
TA-00024;S-0066;01/08/2013;0;0;Yes;2;113.702.753.682.055
TA-00024;S-0066;01/08/2013;0;0;Yes;5;563.366.959.153.809
TA-00024;S-0066;01/08/2013;0;0;Yes;10;371.961.295.994.391
TA-00024;S-0066;01/08/2013;0;0;Yes;25;257.340.462.823.345
TA-00024;S-0066;01/08/2013;0;0;Yes;50;225.624.989.567.278
TA-00024;S-0066;01/08/2013;0;0;Yes;100;211.436.488.373.775
TA-00024;S-0066;01/08/2013;0;0;Yes;250;203.090.311.201.126
TA-00025;S-0066;01/08/2013;0;0;Yes;1;207.819.811.598.961
TA-00025;S-0066;01/08/2013;0;0;Yes;2;112.172.621.200.403
TA-00025;S-0066;01/08/2013;0;0;Yes;5;547.787.428.431.531
TA-00025;S-0066;01/08/2013;0;0;Yes;10;356.659.971.177.868
TA-00025;S-0066;01/08/2013;0;0;Yes;25;241.760.932.101.067
TA-00025;S-0066;01/08/2013;0;0;Yes;50;210.323.664.750.755
TA-00025;S-0066;01/08/2013;0;0;Yes;100;196.135.163.557.252
TA-00025;S-0066;01/08/2013;0;0;Yes;250;187.788.986.384.603
TA-00027;S-0062;24/09/1993;30;1;No;1;273.754.611.262.888
TA-00028;S-0062;24/06/2011;3;0;Yes;5;167.090.466.996.433
TA-00028;S-0062;24/06/2011;3;0;Yes;10;101.517.335.009.988
TA-00031;S-0014;29/07/2002;2;0;Yes;2;250.190.571.045.442
TA-00031;S-0014;29/07/2002;2;0;Yes;4;145.863.356.387.329
TA-00031;S-0014;29/07/2002;2;0;Yes;6;111.087.618.167.958
TA-00031;S-0014;29/07/2002;2;0;Yes;8;93.699.749.058.273
TA-00031;S-0014;29/07/2002;2;0;Yes;10;832.670.275.924.617
TA-00031;S-0014;29/07/2002;2;0;Yes;12;763.118.799.485.875
TA-00034;S-0062;07/08/2014;50;0;Yes;1;940.252.499.680.063
TA-00034;S-0062;02/02/1993;280;1;Yes;1;482.965.452.390.623
TA-00034;S-0062;07/08/2014;50;0;Yes;6;226.626.530.827.996
TA-00034;S-0062;07/08/2014;50;0;Yes;10;169.538.678.967.077
TA-00034;S-0062;07/08/2014;50;0;Yes;20;11.676.301.864.536
TA-00034;S-0062;07/08/2014;50;0;Yes;50;896.935.840.154.015
TA-00037;S-0062;01/09/1994;600;1;No;1;156.351.719.034.292
TA-00046;S-0026;19/11/2010;15;1;No;1;228.148.317.132.476
TA-00047;S-0072;12/04/2006;10;1;No;1;783.427.830.605.988
TA-00048;S-0026;01/09/2009;180;20;No;1;294.063.642.383
TA-00052;S-0066;01/10/2013;0;0;Yes;1;295.593.774.864.653
TA-00052;S-0066;01/10/2013;0;0;Yes;2;17.699.459.724.131
TA-00052;S-0066;01/10/2013;0;0;Yes;5;10.582.952.654.919
TA-00052;S-0066;01/10/2013;0;0;Yes;10;820.985.627.882.909
TA-00052;S-0066;01/10/2013;0;0;Yes;25;67.882.241.004.212
TA-00052;S-0066;01/10/2013;0;0;Yes;50;63.792.614.189.614
TA-00052;S-0066;01/10/2013;0;0;Yes;100;619.286.346.210.557
TA-00052;S-0066;01/10/2013;0;0;Yes;250;608.158.109.980.359
TA-00054;S-0064;21/06/2005;5;0;Yes;2;387.874.673.803.575
TA-00054;S-0064;21/06/2005;5;0;Yes;3;279.596.935.283.742
TA-00054;S-0064;21/06/2005;5;0;Yes;4;225.931.016.063.609
